,Count,Average Price,Score,Ordinal Date,Mercedes-Benz Stadium,State Farm Arena,Date
99,52,146.94961538461538,4,738566,0,0,2023-02-15
100,52,151.78115384615384,7,738567,0,0,2023-02-16
101,52,159.21,6,738568,0,0,2023-02-17
102,52,172.0473076923077,7,738569,0,0,2023-02-18
103,52,161.79038461538462,7,738570,0,0,2023-02-19
104,52,145.54115384615383,3,738571,0,0,2023-02-20
105,52,149.57461538461538,6,738572,0,0,2023-02-21
106,52,174.16307692307691,6,738573,0,0,2023-02-22
107,52,174.16307692307691,6,738574,0,0,2023-02-23
108,52,174.26884615384614,7,738575,0,0,2023-02-24
109,52,156.30615384615385,8,738576,0,0,2023-02-25
110,52,155.38384615384615,7,738577,0,0,2023-02-26
111,52,144.0596153846154,2,738578,0,0,2023-02-27
112,52,144.59115384615384,4,738579,0,0,2023-02-28
113,52,173.875,3,738580,0,0,2023-03-01
114,52,173.875,5,738581,0,0,2023-03-02
