,Count,Average Price,Ordinal Date,Mercedes-Benz Stadium,State Farm Arena
0,13,125.35615384615386,738479,1,0
1,37,136.17166666666665,738480,0,0
2,39,227.61933333333334,738481,0,1
3,17,383.125,738482,0,1
4,4,365.25,738483,0,0
5,28,131.845,738484,0,0
6,52,110.58076923076922,738485,0,0
7,52,109.38192307692307,738486,0,1
8,52,95.64192307692308,738487,0,0
9,52,95.70115384615384,738488,0,0
10,52,109.30884615384615,738489,0,0
11,52,108.48846153846154,738490,0,1
12,52,106.33846153846154,738491,0,1
13,52,106.33846153846154,738491,0,1
14,52,106.33846153846154,738491,0,1
15,52,106.33846153846154,738491,0,1
16,52,106.5973076923077,738492,1,0
17,52,105.75153846153846,738493,1,0
18,52,105.75153846153846,738493,0,1
19,52,105.75153846153846,738493,1,0
20,52,105.75153846153846,738493,0,1
21,52,96.44615384615385,738494,0,1
22,52,96.44615384615385,738495,0,0
23,52,111.62576923076924,738496,0,0
24,52,111.23884615384615,738497,0,0
25,52,110.83307692307692,738498,0,0
26,52,111.87884615384615,738499,0,1
27,52,111.03307692307693,738500,0,1
28,52,109.09076923076924,738501,0,0
29,52,109.09076923076924,738502,0,1
30,52,96.55115384615384,738503,0,0
31,52,110.06384615384614,738504,0,1
32,52,101.12576923076924,738505,0,1
33,52,112.09423076923076,738506,1,0
34,52,105.53615384615385,738507,0,1
35,52,104.67730769230769,738508,0,1
36,52,104.14653846153846,738509,0,0
37,52,135.4823076923077,738510,0,1
38,52,135.5123076923077,738511,0,0
39,52,146.7326923076923,738512,0,1
40,52,141.85192307692307,738513,0,0
41,52,141.72884615384615,738514,0,0
42,52,141.75192307692308,738515,0,0
43,52,141.75192307692308,738516,0,0
44,52,146.3580769230769,738517,0,1
45,52,139.8473076923077,738518,0,0
46,52,139.79423076923078,738519,0,1
47,52,160.07999999999998,738520,1,0
48,52,154.6776923076923,738521,1,0
49,52,133.44346153846155,738522,0,0
50,52,133.44346153846155,738523,0,0
51,52,132.03153846153847,738524,0,0
52,52,135.1926923076923,738525,0,0
53,52,140.01615384615386,738526,0,0
54,52,135.11307692307693,738527,0,0
55,52,132.03153846153847,738528,0,0
56,52,131.9726923076923,738529,0,0
57,52,131.78192307692308,738530,0,0
58,52,131.97923076923078,738531,0,1
59,52,132.7776923076923,738532,0,0
60,52,135.85923076923078,738533,0,0
61,52,135.06076923076924,738534,0,0
62,52,131.835,738535,0,0
63,52,146.67384615384614,738536,0,1
64,52,146.67384615384614,738537,0,0
65,52,146.22576923076923,738538,0,0
66,52,142.40769230769232,738539,0,0
67,52,145.48923076923077,738540,0,0
68,52,149.3073076923077,738541,0,0
69,52,146.00192307692308,738542,0,0
70,52,136.59269230769232,738543,0,0
71,52,136.8403846153846,738544,0,0
72,52,137.01653846153846,738545,0,0
73,52,135.29346153846154,738546,0,0
74,52,140.44115384615387,738547,0,0
75,52,139.81,738548,0,0
76,52,136.97615384615386,738549,0,0
77,52,133.2196153846154,738550,0,0
78,52,133.02692307692308,738551,0,0
79,52,124.91807692307692,738552,0,0
80,52,122.52038461538463,738553,0,0
81,52,126.41615384615385,738554,0,1
82,52,126.41615384615385,738554,0,1
83,52,126.41615384615385,738554,0,1
84,52,126.41615384615385,738554,0,1
85,52,128.6423076923077,738555,0,1
86,52,128.6423076923077,738556,0,0
87,52,124.48307692307692,738557,0,0
88,52,122.845,738558,0,1
89,52,122.845,738558,0,1
90,52,122.845,738558,0,1
91,52,122.845,738558,0,1
92,52,123.11615384615385,738559,0,0
93,52,123.5596153846154,738560,0,0
94,52,122.85923076923078,738561,0,0
95,52,123.6123076923077,738562,0,0
96,52,123.6123076923077,738563,0,0
97,52,143.63500000000002,738564,0,0
98,52,140.9473076923077,738565,0,0
99,52,146.94961538461538,738566,0,0
100,52,151.78115384615384,738567,0,0
101,52,159.21,738568,0,0
102,52,172.0473076923077,738569,0,0
103,52,161.79038461538462,738570,0,0
104,52,145.54115384615383,738571,0,0
105,52,149.57461538461538,738572,0,0
106,52,174.16307692307691,738573,0,0
107,52,174.16307692307691,738574,0,0
108,52,174.26884615384614,738575,0,0
109,52,156.30615384615385,738576,0,0
110,52,155.38384615384615,738577,0,0
111,52,144.0596153846154,738578,0,0
112,52,144.59115384615384,738579,0,0
113,52,173.875,738580,0,0
114,52,173.875,738581,0,0
